Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_161.jpg;15;0;0;-0.3290671;112.6462;151.3121;0.2230425;64.80219;359.9355
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_227.jpg;15;0;0;-0.326525;112.6405;151.2955;0.3423206;64.46461;359.9196
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_294.jpg;15;0;0;-0.3245661;112.6328;151.273;0.469183;64.00723;359.907
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_360.jpg;15;0;0;-0.3225776;112.6266;151.2559;0.5318117;63.66063;359.911
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_427.jpg;11.97594;0;0;-0.3199349;112.6199;151.2385;0.5657294;63.34837;359.9293
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_494.jpg;12.00818;0;0;-0.3187255;112.6106;151.2151;0.5802863;62.97968;359.961
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_560.jpg;15;0;0;-0.3165251;112.6056;151.2018;0.6798216;63.53896;359.9783
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_627.jpg;15;0;0;-0.1179925;112.6046;151.2005;0.994372;65.92534;0.0168226
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_694.jpg;15;0;0;-0.09354969;112.6037;151.1991;1.304359;69.12052;0.01898439
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_760.jpg;13.49048;0;0;-0.06150237;112.6026;151.1959;1.249849;71.34818;0.003713572
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_827.jpg;10.51543;0;0;0.02273376;112.6021;151.1945;1.10638;73.1723;0.005850961
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_894.jpg;7.506203;0;0;0.03429444;112.602;151.194;0.9280766;75.01187;0.01969126
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_961.jpg;4.499781;0;0;0.0377592;112.6019;151.1937;0.7868911;75.90008;0.04146847
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_15_036.jpg;1.509915;0;0;0.03890486;112.6018;151.1933;0.5904848;76.44042;0.07857218
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_15_093.jpg;0;0;0;0.03877768;112.6018;151.193;0.4415069;76.44034;0.1068633
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_15_160.jpg;0;0;0;0.03847384;112.6018;151.1927;0.2962673;76.44033;0.1304559
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_15_227.jpg;3.003125;0;0;0.03811324;112.6018;151.1926;0.1598254;76.80225;0.1483435
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_15_294.jpg;6.010581;0;0;0.0380996;112.6018;151.1927;-0.001848747;78.06596;0.1675208
